name,difficulty,description,category,image_url,id,created_date,updated_date,created_by_id,is_sample
"Busz","nehéz","Mindenki Tudja","Csapat","","6a155ccb21fa70a22d4b56c5","2026-05-26T08:41:47.744000","2026-05-26T08:42:20.255000","6a13fd728a0d72caf4de8c09","false"
"Memória","nehéz","Egy kategóriába el kell kezdeni mondani szavakat és utána ismételni kell az előzőeket, aki elrontja az iszik. A játék választja ki ki kezd.","Csapat","https://media.base44.com/images/public/6a13fd728a0d72caf4de8c08/c08054bde_008-puzzle.png","6a140acfb1d5e5cfe93b16d5","2026-05-25T08:39:43.051000","2026-05-26T08:46:29.774000","anonymous","false"
"Érem dobás","könnyű","Az app kiválaszt egy játékost aki kihivhat valakit hogy játsszon vele. A két játékosnak választani kell a Fej és az Írás között. Ez után a kihívó feldobja az érmét és amelyik oldalára esik az a játékos nyert és a másiknak innia kell.","Páros","https://media.base44.com/images/public/6a13fd728a0d72caf4de8c08/b2b517b2a_005-promise.png","6a140acf62d458a735f21450","2026-05-25T08:39:43.035000","2026-05-26T08:46:17.406000","anonymous","false"
"Tick Tak","közepes","A játék inditásával elindul egy számláló a háttérben, ekkor el kell kezdeni körbeadni egy tárgyat a játékosok között. Mikor az időzitő megszólal annál az embernél akinél épp az adott tárgy van ő vesztett és neki kell a büntetést meginnia.","Csapat","https://media.base44.com/images/public/6a13fd728a0d72caf4de8c08/e20faaaa0_048-letter.png","6a140acf503573bc92470500","2026-05-25T08:39:43.003000","2026-05-26T08:46:09.162000","anonymous","false"
"Kéz csere","nehéz","A játék úgy kezdődik hogy keresztbe rakjátok a kezeteket az asztalon. Egyik egyénileg választott irányba indul a kör.
1 Koppintás = Abba az irányba megy tovább.
2 Koppintás = Fordított irányba indul.
3 Koppintás = A soron következőnek nem szabad koppintania. Aki ront az iszik.","Csapat","https://media.base44.com/images/public/6a13fd728a0d72caf4de8c08/1b1a4e166_041-shaka.png","6a140ace0f5c569678d12cc2","2026-05-25T08:39:42.952000","2026-05-26T08:45:55.353000","anonymous","false"
"Anagramma","könnyű","Az applikáció kisorsol egy játékost aki játszani fog. A Start gombra nyomva megjelenik a képernyőn 4 betű amiből 5 mp alatt egy értelmes magyar szót kell kiraknia. Amennyiben ez nem sikerül úgy innia kell a játékosnak. Ha sikerül akkor nincs büntetése.","Egyéni","https://media.base44.com/images/public/6a13fd728a0d72caf4de8c08/c7dd9fd19_018-social-media.png","6a140aced299671c8dba22d7","2026-05-25T08:39:42.698000","2026-05-25T08:39:42.698000","anonymous","false"
"Ring of Fire","közepes","Választani kell a kártyák közül és a kártyának a leírását kell megcsinálni.
2 - is Choose – Válassz valakit aki iszik
3 - is Me – Én iszok
4 - is Whore – Összes lány iszik
5 - Thumb Master - Aki kihúzza ő lesz a játékmester
6 - is Dicks – Összes fiú iszik
7 - is Heaven – Felkell mutatni az égre
8 - is Mate – Válassz valakit aki iszik veled
9 - Rhyme – Rimelni kell
10 - Categories – Kategóriákat kell mondani
Jack - Make a Rule – Hozni kell egy szabályt
Queen - Questions – Kérdésekkel kell beszélni
King - Pour! – Össze kell önteni a piákat
A - Waterfall – Addig kell inni amíg az ászt húzó szemely iszik.","Egyéni","https://media.base44.com/images/public/6a13fd728a0d72caf4de8c08/30be0a7f6_022-bracelet.png","6a140ace28c61ccb3dcbf2e3","2026-05-25T08:39:42.685000","2026-05-26T08:45:42.660000","anonymous","false"
"Orosz Rulett","könnyű","Három darab kártya közül kell választani. 2 alatt Tűzjáték van 1 alatt pia. Egyet kell húzni – ha tűzjátékot húzol akkor megúsztál nem kell innod. Ha piát akkor kell. Ezt a játékot csak egy ember játsza.","Egyéni","https://media.base44.com/images/public/6a13fd728a0d72caf4de8c08/00fb8bff7_030-dependable.png","6a140ace4ca062d6935ceda8","2026-05-25T08:39:42.640000","2026-05-25T08:39:42.640000","anonymous","false"
"Kisebb vagy Nagyobb","közepes","A játék úgy kezdődik hogy az app kiválaszt egy játékost aki a sort fogja kezdeni. Neki meg kell mondania, hogy a következő szám kisebb, vagy nagyobb lesz mint amit a játék kiír. Ez után a következő játékos jön. Minél tovabb megy a játék annál többet kell innia annak aki hibázik.","Csapat","https://media.base44.com/images/public/6a13fd728a0d72caf4de8c08/a6501c235_011-friendship.png","6a140ace87d715febc722cc0","2026-05-25T08:39:42.632000","2026-05-26T08:45:12.652000","anonymous","false"
"Tapper","könnyű","Az app kiválaszt egy játékost aki kihivhat valakit hogy játsszon vele. Mind a két játékosnak a kijelölt pontra kell raknia az egyik ujját. Egy visszaszámláló elindul 5-től és minél közelebb a 0-hoz kell elengednie a gombot. Csak a vesztes iszik.","Páros","https://media.base44.com/images/public/6a13fd728a0d72caf4de8c08/4d3e02af9_016-best-friend.png","6a140ace887e6711fefaaa5b","2026-05-25T08:39:42.630000","2026-05-26T08:45:06.617000","anonymous","false"
